name,email,company,title,linkedin,category,priority,notes
Sarah Johnson,sarah@aistartup.com,AI Startup Inc,CTO,https://linkedin.com/in/sarahjohnson,AI Startup,P1,Met at AI conference 2025
Michael Chen,michael@enterprisesaas.com,Enterprise SaaS Co,VP Engineering,https://linkedin.com/in/michaelchen,Enterprise SaaS,P1,Warm intro from Jane
Emily Rodriguez,emily@techcorp.com,TechCorp,Head of AI,https://linkedin.com/in/emilyrodriguez,Real Estate Tech,P1,Engaged with LinkedIn posts
David Kim,david@consulting.com,Consulting Firm LLC,Managing Partner,https://linkedin.com/in/davidkim,Consulting,P2,Cold outreach
Lisa Wang,lisa@healthtech.com,Healthcare Tech,Director of Engineering,https://linkedin.com/in/lisawang,Healthcare/Legal,P2,Responded to email
James Brown,james@financial.com,Financial Services,SVP Technology,https://linkedin.com/in/jamesbrown,Healthcare/Legal,P2,Mutual connection
Maria Garcia,maria@proptech.com,PropTech Ventures,CEO,https://linkedin.com/in/mariagarcia,Real Estate Tech,P1,Investor interest
Robert Taylor,robert@cloudsolutions.com,Cloud Solutions,CTO,https://linkedin.com/in/roberttaylor,Enterprise SaaS,P2,Conference attendee
Jennifer Lee,jennifer@airesearch.com,AI Research Lab,Principal Scientist,https://linkedin.com/in/jenniferlee,AI Startup,P2,Published similar research
Thomas Anderson,thomas@dataanalytics.com,Data Analytics Co,VP Product,https://linkedin.com/in/thomasanderson,Consulting,P2,Follows on Twitter
